상가업소번호	상호명	지점명	상권업종대분류코드	상권업종대분류명	상권업종중분류코드	상권업종중분류명	상권업종소분류코드	상권업종소분류명	표준산업분류코드	표준산업분류명	시도코드	시도명	시군구코드	시군구명	행정동코드	행정동명	법정동코드	법정동명	지번코드	대지구분코드	대지구분명	지번본번지	지번부번지	지번주소	도로명코드	도로명	건물본번지	건물부번지	건물관리번호	건물명	도로명주소	구우편번호	신우편번호	동정보	층정보	호정보	경도	위도
23510782	이디야커피	화랑대역점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11350	노원구	1135060000	공릉2동	1135010300	공릉동	1135010300102850000	1	대지	285	2	서울특별시 중랑구 묵동 285-2	113503005046	서울특별시 중랑구 신내로25가길	510		1135010300102850000000000	화랑대역6호선	서울특별시 중랑구 신내로25가길 510	139240	2021		1		127.0837307915	37.6198872141
16731285	이디야커피	용산후암점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11170	용산구	1117051000	후암동	1117010100	후암동	1117010100102440000	1	대지	244	49	서울특별시 용산구 후암동 244-49	111703101024	서울특별시 용산구 후암로	40	2	1117010100102440000000000	성원빌딩	서울특별시 용산구 후암로 40-2	140901	4331		4		126.9776467054	37.5495186638
16657507	이디야커피	북서울꿈의숲점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11290	성북구	1129076000	장위1동	1129013800	장위동	1129013800102190000	1	대지	219	44	서울특별시 성북구 장위동 219-44	112904121066	서울특별시 성북구 돌곶이로41가길	2		1129013800102190000000000		서울특별시 성북구 돌곶이로41가길 2	136834	2754				127.0455835719	37.6186387452
16729904	이디야커피	충정로3가점	Q	음식	Q01	한식	Q01A01	한식/백반/한정식	I56111	한식 음식점업	11	서울특별시	11410	서대문구	1141056500	충현동	1141010200	충정로3가	1141010200104800000	1	대지	480		서울특별시 서대문구 충정로3가 480	114103112004	서울특별시 서대문구 경기대로	26	26	1141010200100720000000000	더스타일하우스디센트럴	서울특별시 서대문구 경기대로 26-26	120013	3737		26		126.9621753585	37.5610161416
23264435	이디야커피	마천사거리점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11710	송파구	1171053100	거여1동	1171011300	거여동	1171011300101330000	1	대지	133	77	서울특별시 송파구 거여동 133-77	117103123004	서울특별시 송파구 마천로	264		1171011300101330000000000	흥일빌딩	서울특별시 송파구 마천로 264	138110	5735		1		127.1461334648	37.4980732618
25834452	이디야커피	KBS별관점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11560	영등포구	1156054000	여의동	1156011000	여의도동	1156011000100450000	1	대지	45	20	서울특별시 영등포구 여의도동 45-20	115604154067	서울특별시 영등포구 국제금융로8길	27	9	1156011000100450000000000	동북빌딩	서울특별시 영등포구 국제금융로8길 27-9	150891	7332				126.928912744	37.5196675984
11816371	이디야커피	강남고속터미널점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11650	서초구	1165058100	반포4동	1165010700	반포동	1165010700100190000	1	대지	19	11	서울특별시 서초구 반포동 19-11	116503121017	서울특별시 서초구 신반포로	188		1165010600100700000000000	강남고속터미널역	서울특별시 서초구 신반포로 188	137040	6545		1		127.0048766745	37.5034373619
23181807	이디야커피	청구역점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11140	중구	1114062500	다산동	1114016200	신당동	1114016200103090000	1	대지	309	18	서울특별시 중구 신당동 309-18	111403101014	서울특별시 중구 다산로	181	2	1114016200103090000000000		서울특별시 중구 다산로 181-2	100452	4608		1		127.0132279703	37.5597779407
11812315	이디야커피	합정동점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11440	마포구	1144068000	합정동	1144012200	합정동	1144012200104100000	1	대지	410	18	서울특별시 마포구 합정동 410-18	114404139430	서울특별시 마포구 양화로6길	90		1144012200104100000000000		서울특별시 마포구 양화로6길 90	121883	4048		1		126.9190660955	37.54822201
25344214	이디야커피	방이미성점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11710	송파구	1171056100	방이1동	1171011100	방이동	1171011100102250000	1	대지	225		서울특별시 송파구 방이동 225	117102000006	서울특별시 송파구 양재대로	1089		1171011100102250000000000	잠실3차한양아파트	서울특별시 송파구 양재대로 1089	138050	5647		1		127.1224624451	37.5058471538
11815642	이디야커피	상봉엠코점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11260	중랑구	1126058000	상봉1동	1126010200	상봉동	1126010200105000000	1	대지	500		서울특별시 중랑구 상봉동 500	112603005032	서울특별시 중랑구 망우로	353		1126010200100730000000000	상봉프레미어스엠코	서울특별시 중랑구 망우로 353	131220	2087				127.0916053602	37.5983230688
23436129	이디야커피	신상도초교점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11590	동작구	1159056000	상도4동	1159010200	상도동	1159010200102220000	1	대지	222	1	서울특별시 동작구 상도동 222-1	115903005080	서울특별시 동작구 양녕로	183		1159010200102220000000000		서울특별시 동작구 양녕로 183	156030	7048		1		126.9431591742	37.4977202768
26368288	이디야커피	선유도역점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11560	영등포구	1156062000	양평2동	1156012900	양평동5가	1156012900100570000	1	대지	57	1	서울특별시 영등포구 양평동5가 57-1	115603118017	서울특별시 영등포구 양평로	126		1156012900100570000000000	신성빌딩	서울특별시 영등포구 양평로 126	150105	7205		1		126.8938986964	37.5381946376
25873058	이디야커피	장안점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11230	동대문구	1123066000	장안2동	1123010600	장안동	1123010600100940000	1	대지	94	27	서울특별시 동대문구 장안동 94-27	112304115632	서울특별시 동대문구 한천로46길	42		1123010600100940000000000	예신프라자	서울특별시 동대문구 한천로46길 42	130100	2516		6		127.070683065	37.5814998708
20381009	이디야커피	중계점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11350	노원구	1135062500	중계2.3동	1135010600	중계동	1135010600105090000	1	대지	509	1	서울특별시 노원구 중계동 509-1	113504130198	서울특별시 노원구 동일로204가길	34		1135010600105090000000000	씨앤미복합빌딩	서울특별시 노원구 동일로204가길 34	139938	1783		1		127.0681553149	37.6407414112
